CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2018,2018,5,2022,8,2025,8,8,0,0,0,100,0,0,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2018,2019,5,2022,8,2025,8,8,0,0,0,100,0,0,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2018,2020,5,2022,8,2025,8,7,0,1,0,87.5,0,12.5,0,12.5
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2018,2021,5,2022,8,2025,8,2,4,1,0,25,50,25,50,12.5
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14088,MUSICOTERAPIA,5,52,5208707,1,1,0917M01,Musicoterapia,09,Saúde e bem-estar,2018,2022,5,2022,8,2025,8,2,0,0,0,25,50,25,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2018,2018,6,2023,10,2027,76,74,0,2,0,97.36842105,0,2.631578947,0,2.631578947
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2018,2019,6,2023,10,2027,76,68,0,6,0,89.47368421,0,10.52631579,0,7.894736842
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2018,2020,6,2023,10,2027,76,58,1,9,0,76.31578947,1.315789474,22.36842105,1.315789474,11.84210526
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2018,2021,6,2023,10,2027,76,46,7,5,0,60.52631579,10.52631579,28.94736842,9.210526316,6.578947368
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14089,CIÊNCIAS BIOLÓGICAS,5,52,5208707,2,1,0114B01,Biologia formação de professor,01,Educação,2018,2022,6,2023,10,2027,76,22,20,4,0,28.94736842,36.84210526,34.21052632,26.31578947,5.263157895
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2018,2018,6,2023,10,2027,60,53,0,7,0,88.33333333,0,11.66666667,0,11.66666667
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2018,2019,6,2023,10,2027,60,49,1,3,0,81.66666667,1.666666667,16.66666667,1.666666667,5
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2018,2020,6,2023,10,2027,60,44,0,5,0,73.33333333,1.666666667,25,0,8.333333333
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2018,2021,6,2023,10,2027,60,42,0,2,0,70,1.666666667,28.33333333,0,3.333333333
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14091,ENFERMAGEM,5,52,5208707,1,1,0913E01,Enfermagem,09,Saúde e bem-estar,2018,2022,6,2023,10,2027,60,11,30,1,0,18.33333333,51.66666667,30,50,1.666666667
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14092,FARMÁCIA,5,52,5208707,1,1,0916F01,Farmácia,09,Saúde e bem-estar,2018,2018,6,2023,10,2027,94,94,0,0,0,100,0,0,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,14092,FARMÁCIA,5,52,5208707,1,1,0916F01,Farmácia,09,Saúde e bem-estar,2018,2019,6,2023,10,2027,94,84,0,10,0,89.36170213,0,10.63829787,0,10.63829787
